CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
452,France,Female,32,3,0.0,1,0,0,24670.87908793555,0
785,France,Male,44,9,0.0,1,0,1,43507.97100109124,0
698,France,Male,66,1,93435.54122925163,1,0,0,72196.8736118616,1
620,Germany,Male,25,8,75903.77610541509,1,1,0,19349.894310981545,1
456,France,Male,46,3,115511.59220744323,2,0,0,47119.20433143778,1
421,Spain,Female,36,3,0.0,2,0,1,41828.79353778084,0
538,Spain,Female,48,9,17601.294579022564,1,1,1,156748.2720685495,1
370,Germany,Male,26,0,0.0,3,1,1,42219.06035378426,0
452,Germany,Male,27,1,173774.65989457612,2,1,0,160392.50977105685,1
471,Spain,Female,54,2,0.0,1,0,1,106554.60888943728,1
816,Germany,Female,27,6,109036.02008064714,1,1,0,153992.29410958744,1
564,France,Female,50,8,0.0,1,0,1,95567.81208240619,1
680,France,Female,42,4,84060.65451184797,2,1,0,181200.48317761658,0
808,Spain,Female,21,3,30922.70954544076,1,1,1,62538.54965571841,0
437,France,Male,22,1,34007.680979680066,1,0,1,155693.3017985013,0
722,France,Female,40,6,0.0,1,1,0,41049.80249278582,0
449,Germany,Male,56,5,0.0,2,1,1,177702.4439000878,1
709,Spain,Male,22,6,0.0,1,0,1,15403.770519259942,0
501,France,Female,69,7,190143.51853732803,1,1,1,96912.863342127,1
480,Germany,Male,25,8,163932.33164195952,1,1,1,90039.07302712332,1
499,France,Male,34,9,0.0,1,1,0,128520.23016991693,1
658,Germany,Female,18,4,146874.78958519062,1,1,0,93777.33831466736,1
607,France,Male,67,4,19050.11964888672,1,0,0,121905.94767892241,1
693,France,Female,29,3,117993.97972744358,1,1,0,173723.56104912198,1
841,Spain,Female,52,2,0.0,1,0,0,36985.419721324,1
763,France,Male,69,6,17430.934844576695,1,0,0,56387.99069390083,1
643,Germany,Female,31,4,65293.13851757263,1,0,1,162535.78455251132,1
735,France,Female,65,6,19787.18350544772,1,1,1,53332.15528133249,0
541,France,Male,35,1,118250.89979457145,1,1,0,182074.2592332207,1
793,Germany,Female,27,8,32078.119162400515,1,1,1,112754.15597407076,1
626,France,Male,32,8,0.0,1,0,1,25554.222640206324,0
510,France,Male,59,8,146790.3929896335,1,1,1,13925.450814839316,1
809,France,Female,50,4,41243.32163773884,2,0,0,154951.87096503892,1
663,Germany,Male,36,9,153519.24304487146,2,0,0,172706.6580878816,1
371,Spain,Female,51,8,21438.847770480752,1,1,1,55574.27374678171,1
602,Spain,Male,62,0,0.0,1,0,0,55748.18178920363,1
585,France,Female,42,1,63220.969004622464,3,1,1,191279.39980512895,0
694,France,Female,33,9,161258.82280829657,2,1,1,134675.5559667865,0
398,France,Male,25,4,171526.00893344617,2,1,0,41846.681346802936,0
824,Spain,Male,52,4,0.0,2,1,1,95231.51885473185,0
408,France,Female,38,5,28198.926849844265,2,1,0,182982.8619741017,0
519,Spain,Female,36,7,171111.21864597782,1,1,0,128023.09711416707,1
825,France,Male,63,0,133379.81312920034,1,1,1,87419.22395419212,0
537,Spain,Female,28,9,39992.53291574946,1,0,1,38696.36500507395,0
813,Spain,Female,61,8,0.0,2,0,0,147940.35042375408,1
620,Spain,Male,28,3,0.0,2,0,0,62508.94893618043,0
539,France,Male,28,7,23207.83898983497,1,0,1,117523.03434980632,0
795,France,Female,39,4,25907.034393173242,1,0,0,124026.6380375242,1
524,France,Male,38,0,0.0,2,0,1,115535.40156532163,0
795,France,Male,44,8,133929.84186374478,1,1,1,56833.63039958967,0
400,France,Female,35,7,43821.61679941372,2,1,0,144572.17290167368,0
713,Germany,Male,59,4,165109.76882026123,2,1,1,117549.50107776799,1
404,France,Male,65,3,0.0,1,0,0,86699.7567019904,1
593,Germany,Female,57,7,116590.92218931629,1,1,1,19904.861988402758,1
669,Germany,Male,55,8,32052.863830365208,2,1,1,72940.1212111739,1
480,France,Female,47,6,197761.76737931758,1,0,1,76965.02649767617,0
834,Spain,Male,68,3,103106.38961693674,2,0,1,160321.03939447313,0
656,France,Male,62,6,95893.89809478312,2,1,1,107554.94280811668,0
484,France,Female,64,5,0.0,2,1,0,187102.5842939161,1
370,France,Male,62,2,0.0,2,0,1,152638.6755505275,0
678,Spain,Male,50,9,0.0,1,1,1,112220.88325554531,0
516,France,Male,38,2,0.0,2,1,0,42088.30305401713,0
623,France,Male,19,0,28222.782687727362,1,0,0,51996.30831106711,1
737,Germany,Male,30,4,186037.23181392511,2,0,1,40415.0798170155,1
438,France,Male,19,7,170317.22106664762,1,0,0,94141.63942445253,1
665,Germany,Female,60,5,0.0,2,0,1,147279.72803578866,1
363,Spain,Male,62,7,0.0,2,0,0,154271.7167924385,1
591,Spain,Male,48,6,154918.59099204562,2,0,0,28268.73369437548,1
614,France,Female,27,1,53303.03627305684,1,1,1,104223.05881260545,0
695,France,Female,40,7,0.0,1,1,0,101473.71561027058,1
402,France,Female,39,3,58455.47264832016,1,1,0,93388.46394007248,1
735,France,Male,64,4,0.0,2,1,1,67231.03953559944,0
689,France,Female,46,7,0.0,2,0,0,100403.5317630393,1
441,France,Female,50,4,0.0,2,1,0,108155.2784131195,1
716,Spain,Male,48,4,71942.22521383464,2,0,0,123942.27163017509,1
793,Spain,Female,31,5,0.0,1,0,0,81699.38178304641,1
804,France,Male,27,6,0.0,2,0,1,189569.12072888855,0
777,France,Male,35,8,0.0,1,1,0,74379.34552493188,0
613,France,Male,28,6,0.0,1,1,1,180059.67482467808,0
780,France,Male,56,5,129896.7207910876,2,0,0,162238.1685775336,1
384,Germany,Male,64,9,0.0,2,0,0,98401.43432561721,1
555,Germany,Female,20,3,141615.55813648686,1,1,1,104299.3521371852,1
430,Spain,Male,19,9,0.0,1,1,1,175273.70192249992,0
769,Germany,Female,25,1,0.0,2,0,0,103617.75136396103,1
399,Germany,Male,48,8,0.0,2,1,1,139082.11902130453,1
709,Germany,Female,25,9,0.0,3,0,0,163767.54875036256,1
737,France,Male,60,4,0.0,1,0,1,182497.4310885737,0
351,Germany,Male,65,4,0.0,2,0,1,51451.19098820723,1
739,France,Male,19,2,40464.53821959821,2,1,0,195319.4964184245,0
403,France,Female,39,2,136211.75768874225,2,1,0,193413.3782684684,0
455,France,Female,22,0,44063.10683378734,1,0,1,66497.44402917821,0
609,France,Female,24,4,0.0,2,1,0,126608.34254420073,0
659,Spain,Male,37,2,110950.27565320286,1,0,1,18914.410681545,0
826,France,Male,45,1,0.0,1,1,0,41887.19462029622,0
540,France,Female,30,8,135703.13383493244,1,0,1,120925.2636604538,0
751,France,Male,19,9,191597.5586058923,2,0,1,133520.18571741218,0
567,Germany,Female,49,5,38289.5182541049,1,1,1,111574.566255052,1
393,France,Male,43,2,0.0,2,0,1,143897.20996304328,0
511,Spain,Female,20,6,0.0,1,0,1,160649.24537056708,0
551,Spain,Female,58,8,0.0,1,0,1,42006.98689522426,0
795,Germany,Male,59,8,0.0,3,1,1,135327.2766547021,1
833,Germany,Female,30,0,0.0,2,0,1,116893.66498230756,0
619,France,Male,38,1,0.0,1,1,0,32341.386154725595,1
700,France,Male,62,7,0.0,2,0,1,53434.85305784775,0
653,Spain,Male,54,0,136194.64069277106,2,0,0,89737.11349620974,1
620,France,Female,40,2,113004.13918903562,2,1,0,174114.10280088766,1
805,France,Female,24,6,151789.5648815767,2,1,0,51234.89837443619,0
811,Germany,Female,34,7,0.0,1,0,0,44755.50151830539,1
564,France,Male,45,4,0.0,1,0,1,146980.82828892974,0
601,Spain,Male,64,1,52198.27950657716,2,0,1,195400.659138334,1
539,France,Female,47,2,33096.774051431246,1,0,0,94992.4639580157,1
645,Spain,Male,22,8,0.0,2,1,0,76526.14673853002,0
562,Germany,Male,41,9,167783.01410870082,1,1,1,58248.71197071935,0
557,Spain,Female,24,6,0.0,1,1,0,19450.764095266975,0
586,France,Female,51,0,29901.684698406505,1,0,1,43898.68309103487,1
687,Germany,Male,67,2,163430.5505984715,2,0,1,27748.86258150885,1
716,Spain,Male,59,8,0.0,1,0,0,103879.29539105842,1
402,France,Female,50,6,149062.63609225056,1,0,0,195857.53012127493,1
629,France,Female,44,1,195833.35316549457,3,1,1,159606.46059244665,0
759,Germany,Male,31,5,0.0,2,0,1,124321.11588395284,0
566,Germany,Male,36,8,105832.57255552073,1,1,1,102461.2712516094,1
601,France,Male,65,3,0.0,1,0,1,127264.57829606258,0
537,Spain,Female,68,9,92394.70664662267,1,1,1,81445.06218456036,1
729,France,Male,55,1,0.0,2,1,1,43893.2057925338,0
842,France,Male,29,2,31173.39078634902,2,0,0,122056.99418380564,0
390,Spain,Male,20,6,0.0,2,0,1,110339.62491031575,0
506,Germany,Male,24,3,64150.78781424375,2,0,1,189461.97068554276,0
